Restaurant,Categtory,Cuisine,Building,Level,Address,Open,Close,Bfast,Lunch,Dinner,Cost,Rating,Link,Coordinates
The Local Minneapolis,Dine-in,Irish,ATM,Ground,"931 Nicollet Mall, Minneapolis, MN 55402",11:00am,11:00pm,No,Yes,Yes,<$20,4.5,http://the-local.com/,"44.97414531125466, -93.27443734741921"
The News Room,Dine-in,American,Target,Ground,"990 Nicollet Mall, Minneapolis, MN 55403",11:00am,10:00pm,No,Yes,Yes,<$25,4.2,http://thenewsroommpls.com/,"44.974224189478626, -93.27476627370255"
QDOBA Mexican Eats,Fast casual,Mexican,Target,Skyway,"50 South 10th St, Nicollet Mall, Minneapolis, MN 55403",10:00am,6:00pm,No,Yes,Yes,<$20,4.2,https://www.qdoba.com/menu?utm_source=Listings,"44.97442768749259, -93.2747855511772"
Barrio,Dine-in,Mexican,Barrio,Ground,"925 Nicollet Mall, Minneapolis, MN 55402",11:00am,12:00am,No,Yes,Yes,<$25,4.4,https://barriotequila.com/locations/downtown-minneapolis/,"44.97418241348928, -93.27415876306861"
Zelo,Dine-in,Italian,Zelo,Ground,"831 Nicollet Mall, Minneapolis, MN 55402",11:30am,9:00pm,No,Yes,Yes,<$30,4.6,https://zelompls.com/menu/,"44.97514574035361, -93.27364272085276"
801 Chophouse Minneapolis,Dine-in,Steak,RSM,Ground,"801 Nicollet Mall, Minneapolis, MN 55402",4:00pm,10:00pm,No,No,Yes,>$50,4.7,https://801chophouse.com/minneapolis/menu/,"44.97584059836069, -93.27302416353659"
Green + The Grain,Fast casual,Salads/ health food,Baker Center,Skyway,"109 S 7th St, Minneapolis, MN 55402",10:00am,2:00pm,No,Yes,No,<$20,4.8,http://www.greenandthegrain.com/menu/,"44.97602233217169, -93.27076202826662"
Green + The Grain,Fast casual,Salads/ health food,LaSalle Plaza,Skyway,"800 La Salle Ave, Minneapolis, MN 55402",11:00am,2:00pm,No,Yes,No,<$20,4.4,http://www.greenandthegrain.com/menu/,"44.97639422169704, -93.27516621567366"
CRAVE American Kitchen and Sushi Bar,Dine-in,American,CRAVE,Ground,"825 Hennepin Ave, Minneapolis, MN 55402",4:00pm,9:00pm,No,No,Yes,<$30,4.1,https://craveamerica.com/eden-prairie-crave-american-kitchen-and-sushi-bar-food-menu,"44.97651188317599, -93.27649656574933"
The Capital Grille,Dine-in,Steak,State Theatre,Ground,"801 Hennepin Ave, Minneapolis, MN 55402",11:00am,9:00pm,No,Yes,Yes,>$50,4.7,https://www.thecapitalgrille.com/menu/dinner?setRestaurant=8010&cmpid=br:tcg_ag:ie_ch:dry_ca:TCGGMB_sn:gmb_gt:minneapolis-mn-8010_pl:menu_rd:1007,"44.9769857973062, -93.275887525731"
Union Rooftop,Dine-in,American,Kenwood,Ground,"731 Hennepin Ave #1, Minneapolis, MN 55403",5:00pm,10:00pm,No,No,Yes,<$30,4.1,https://unionmpls.com/,"44.97710162768546, -93.27536922547556"
Sushi Train,Dine-in,Sushi,Sushi Train,Ground,"1200 Nicollet Mall STE C3, Minneapolis, MN 55403",11:30am,10:00pm,No,Yes,Yes,<$30,4.2,http://order.sushitraindowntown.com/,"44.97193506152296, -93.27694156160506"
Brit's Pub,Drinks,Drinks,Brit's Pub,Ground,"1110 Nicollet Mall, Minneapolis, MN 55403",11:30am,11:00pm,No,Yes,Yes,<$30,4.5,https://britspub.com/menu,"44.972842523417164, -93.27607495735394"
Caribou Coffee,Coffee,Coffee,US Bank Plaza,Skyway,"200 South 6th St, Minneapolis, MN 55402",6:00am,4:00pm,Yes,Yes,No,<$10,4.2,https://order.cariboucoffee.com/#/?storeId=0178,"44.977399123337, -93.26777835037781"
Devil's Advocate,Dine-in,American,Target,Ground,"1070 Nicollet Mall, Minneapolis, MN 55403",3:00pm,1:00am,No,No,Yes,<$20,5,https://devilsadvocatemn.com/minneapolis,"44.973617607357376, -93.27564634032882"
Coconut Whisk Cafe & Bubble Tea Shop,Coffee,Novelty,Downtown Council,Ground,"905 Nicollet Mall, Minneapolis, MN 55402",10:00am,4:00pm,No,Yes,No,<$15,4.5,http://coconutwhiskcafe.com/,"44.97488079161913, -93.27391781571069"
Hell's Kitchen,Dine-in,American,The Metro Apartments,Ground,"80 S 9th St, Minneapolis, MN 55402",8:00am,10:00pm,Yes,Yes,Yes,<$30,4.4,http://places.singleplatform.com/hells-kitchen-6/menu?ref=google,"44.97478550462753, -93.27300769561552"
Melting Pot,Dine-in,Novelty,The Metro Apartments,Ground,"80 S 9th St, Minneapolis, MN 55402",4:00pm,8:00pm,No,No,Yes,,4.3,https://www.meltingpot.com/minneapolis-mn/restaurant-menu.aspx,"44.97484405745898, -93.2725867444351"
Hibachi Daruma,Dine-in,Novelty,The Metro Apartments,Ground,"820 S Marquette Ave, Minneapolis, MN 55402",11:00am,6:30pm,No,Yes,Yes,,4.4,https://www.clover.com/online-ordering/hibachi-daruma--minneapolis,"44.974740716779536, -93.27250234461145"
